id,name,lat,long
1434,Sternberg Cr after Jenner Cct,-35.401966,149.0867
1435,Clive Steele Av before Priddle St,-35.410717,149.100693
1436,Clive Steele Av after Ashley Dr,-35.410892,149.100723
1437,Clive Steele Av after Brain St,-35.412361,149.100021
1438,Clive Steele Av between Brain St,-35.412884,149.099365
1439,Clive Steele Av after Fraenkel St,-35.414112,149.097046
1440,Clive Steele Av after Coode St,-35.41444,149.096741
1441,Cockcroft Av after Barraclough Cr,-35.417061,149.098236
1442,Cockcroft Av before Barraclough Cr,-35.41674,149.098206
1443,Cockcroft Av before Kneeshaw St,-35.419884,149.097305
1444,Cockcroft Av after Isabella Dr,-35.41975,149.097046
1445,Charleston St after William Hudson Cr,-35.416283,149.079178
1446,Charleston St after Blakey Cl,-35.416264,149.079361
1447,Charleston St after Clive Steele Av,-35.418194,149.082443
1448,Charleston St after Hallstrom Cct,-35.418091,149.082413
1449,Clive Steele Av after Charleston St,-35.416676,149.086212
1450,Clive Steele Av after Harkness St,-35.416611,149.086533
1451,Clive Steele Av after Balsillie Cr,-35.416241,149.088013
1452,Clive Steele Av before Harkness St,-35.416298,149.088364
1453,Corlette Cr Monash Primary,-35.41534,149.089569
1454,Corlette Cr after Hebblewhite St,-35.414165,149.08757
1455,Hambidge Cr after Goldstein Cr,-35.418907,149.11998
1456,Corlette Cr opp Monash Primary,-35.414787,149.088974
1457,Corlette Cr before Hebblewhite St,-35.41423,149.087265
1458,Hebblewhite St after Forwood St,-35.411987,149.087662
1459,Hebblewhite St after Twine Pl,-35.412098,149.087402
1460,Harricks Cr after Michell St,-35.410713,149.091171
1461,Harricks Cr after Beirne St,-35.410767,149.090881
1462,Harricks Cr after Cracknell St,-35.408806,149.092682
1463,Harricks Cr 2nd after Beirne St,-35.408936,149.092453
1464,MacKinnon St opp MacKillop College,-35.405373,149.089508
1465,MacKinnon St MacKillop College,-35.405319,149.089645
1466,Wheeler Cr after Sternberg Cr,-35.402336,149.091782
1467,Wheeler Cr after Keys Cr,-35.400528,149.089233
1468,Wheeler Cr before Sternberg Cr,-35.402092,149.091797
1469,Wheeler Cr after Halfrey Cct,-35.40041,149.089294
1470,Wheeler Cr after Guthridge Cr,-35.398151,149.088379
1471,Wheeler Cr after Kirkton St,-35.398117,149.088486
1472,Wheeler Cr Wanniassa HS,-35.394802,149.086685
1473,Wheeler Cr after Garratt St,-35.394653,149.086594
1474,Kirkton St after Wheeler Cr,-35.397469,149.089951
1475,Kirkton St after Balfour Cr,-35.397537,149.090164
1476,Kirkton St after Holden Cr,-35.39727,149.094788
1477,Kirkton St after Embling St,-35.397308,149.094193
1484,Longmore Cr after Sainsbury St,-35.388088,149.097977
1485,Longmore Cr North of Gaunson Cr,-35.388493,149.098297
1486,Clift Cr after Ashley Dr,-35.42474,149.104019
1487,Clift Cr 3rd after Rohan St,-35.424896,149.10405
1488,Clift Cr after Kiddle Cr,-35.426281,149.107056
1489,Clift Cr 2nd after Rohan St,-35.426373,149.10704
1490,Clift Cr 2nd after Kiddle Cr,-35.427563,149.109589
1491,Clift Cr after Rohan St,-35.427624,149.109787
1492,Clift Cr before Heagney Cr,-35.426281,149.112289
1493,Clift Cr after Heagney Cr,-35.426308,149.112473
1494,Heagney Cr after Clift Cr,-35.425385,149.114075
1495,Heagney Cr after McLorinan St,-35.42524,149.114288
1496,Beattie Cr after McBurney Cr,-35.42276,149.112015
1497,Beattie Cr before Swanton St,-35.423058,149.112183
1498,Beattie Cr after Hemmings Cr,-35.420982,149.113617
